Scan Date,Domain,host_name
2019-12-13 10:24:18,0.0.0.0,hotkillmail9sddcc.ddns.net
2019-09-10 14:16:58,45.121.48.106,hotkillmail9sddcc.ddns.net
2018-08-28 18:20:07,211.21.23.69,hotkillmail9sddcc.ddns.net
2019-12-13 10:27:37,0.0.0.0,rosaf112.ddns.net
2019-10-16 16:48:09,45.121.48.106,rosaf112.ddns.net
2018-08-18 02:30:54,211.21.23.69,rosaf112.ddns.net
2019-12-13 10:29:29,0.0.0.0,cvdfhjh1231.myftp.biz
2019-10-08 18:02:46,45.121.48.106,cvdfhjh1231.myftp.biz
2019-01-14 10:01:38,112.213.106.148,cvdfhjh1231.myftp.biz
2017-04-13 05:30:00,112.213.106.176,cvdfhjh1231.myftp.biz
2019-12-13 10:34:07,0.0.0.0,sz2016rose.ddns.net
2019-08-06 14:50:52,45.121.48.106,sz2016rose.ddns.net
2017-03-16 05:30:00,211.21.23.69,sz2016rose.ddns.net
2019-12-13 10:34:12,0.0.0.0,dffwescwer4325.myftp.biz
2019-08-06 14:53:57,153.154.107.186,dffwescwer4325.myftp.biz
2019-06-28 13:17:03,45.77.226.209,dffwescwer4325.myftp.biz
2016-10-21 05:30:00,211.21.23.69,dffwescwer4325.myftp.biz
2019-12-19 03:05:41,153.148.40.129,cvdfhjh1231.ddns.net
2019-12-13 10:34:28,153.234.210.49,cvdfhjh1231.ddns.net
2019-07-01 18:44:16,210.56.60.240,cvdfhjh1231.ddns.net
2016-05-30 05:30:00,118.184.15.106,cvdfhjh1231.ddns.net
2015-07-28 05:30:00,112.213.106.148,cvdfhjh1231.ddns.net
